areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
All Downtown,Manhattan,submarket,0.1065217391,0.05842696629,0.07529411765,0.04347826087,0.07306889353,0.08163265306,0.1016949153,0.1015228426,0.1039755352,0.1006493506,0.1056105611,0.04966887417,0.1040268456,0.0824742268,0.09404388715,0.08401084011,0.06094808126,0.1101871102,0.1209677419,0.1431334623,0.1752808989,0.1666666667,0.1755725191,0.1146666667,0.1558441558,0.1034482759,0.1261904762,0.1144708423,0.1223404255,0.1260229133,0.1463414634,0.1718266254,0.2122370937,0.2148288973,0.1571709234,0.1419491525,0.1708633094,0.1258865248,0.1738351254,0.1480362538,0.1096433289,0.1369509044,0.162004662,0.1609467456,0.213986014,0.191588785,0.1744421907,0.1355932203,0.1330645161,0.1224899598,0.1157718121,0.1235955056,0.1381418093,0.1433649289,0.1593406593,0.1649484536,0.1901681759,0.2106824926,0.1357027464,0.1256038647,0.103565365,0.1247672253,0.1030110935,0.114973262,0.130675526,0.1457925636,0.1368421053,0.1950718686,0.2056074766,0.2187070151,0.1927710843,0.1257763975,0.1271056662,0.1386748844,0.1500721501,0.1240694789,0.1460084034,0.152173913,0.1844405594,0.2077922078,0.2254220457,0.2650334076,0.2353658537,0.1583220568,0.1850931677,0.1393861893,0.1348940914,0.1062200957,0.1610576923,0.1655580192,0.1713462923,0.2412060302,0.2979381443,0.2567421791,0.2465581977,0.1428571429,0.1475409836,0.1488372093,0.1152777778,0.1042752868,0.139050791,0.1348949919,0.1388455538,0.2303231152,0.2651515152,0.2455516014
All Midtown,Manhattan,submarket,0.07373271889,0.07614213198,0.1014492754,0.1137440758,0.09137055838,0.07211538462,0.08695652174,0.0625,0.08720930233,0.1509433962,0.05263157895,0.09803921569,0.07692307692,0.03125,0.09333333333,0.0972972973,0.04526748971,0.04524886878,0.09734513274,0.09134615385,0.1675675676,0.1483516484,0.1363636364,0.125,0.08805031447,0.08552631579,0.1065088757,0.09452736318,0.09478672986,0.1226415094,0.1822222222,0.153526971,0.1834061135,0.214953271,0.1333333333,0.09615384615,0.1845493562,0.12,0.1315789474,0.1187739464,0.08,0.1417624521,0.1580645161,0.1791530945,0.1866197183,0.1878980892,0.1453287197,0.1345454545,0.1559322034,0.1362007168,0.1363636364,0.1081081081,0.09392265193,0.1129032258,0.1042780749,0.1219512195,0.1703470032,0.1239669421,0.1309192201,0.1268882175,0.1643835616,0.1,0.1496062992,0.0931372549,0.1133501259,0.117370892,0.1561085973,0.1608247423,0.1673728814,0.2293986637,0.1755725191,0.126984127,0.1222826087,0.1544502618,0.1264637002,0.1172566372,0.128540305,0.1369294606,0.1627906977,0.1901279707,0.2148594378,0.20703125,0.1638655462,0.1410579345,0.1301204819,0.120906801,0.1153846154,0.131147541,0.1527777778,0.1548599671,0.1551155116,0.2092555332,0.206741573,0.2585812357,0.2074468085,0.1787709497,0.1436619718,0.1729106628,0.1513513514,0.1384976526,0.1040462428,0.1121495327,0.1113138686,0.1682242991,0.2060737527,0.2628336756
All Upper East Side,Manhattan,submarket,0.1111111111,0.046692607,0.07755102041,0.09154929577,0.08013937282,0.1163522013,0.1428571429,0.1423220974,0.140625,0.1446808511,0.1205357143,0.1098039216,0.09389671362,0.0752688172,0.06896551724,0.06930693069,0.08898305085,0.07608695652,0.1245283019,0.09578544061,0.1739130435,0.1714285714,0.1237113402,0.09677419355,0.1533333333,0.1165644172,0.14,0.1016949153,0.1659919028,0.1408450704,0.1496815287,0.1953642384,0.250965251,0.216730038,0.1466165414,0.1578947368,0.1361702128,0.1130434783,0.112033195,0.1503267974,0.1455108359,0.1063122924,0.1412103746,0.1679790026,0.204610951,0.2401129944,0.1564417178,0.1538461538,0.1318327974,0.09556313993,0.1237785016,0.1121212121,0.1364829396,0.1567695962,0.1270207852,0.156626506,0.1531531532,0.1501210654,0.1772486772,0.09463722397,0.1218130312,0.1134328358,0.1024096386,0.1083333333,0.07029478458,0.1267893661,0.1536885246,0.1772428884,0.1598173516,0.1597222222,0.1789473684,0.1492957746,0.1576086957,0.1452991453,0.1564102564,0.1841491841,0.1414913958,0.1891418564,0.2257495591,0.2433962264,0.2971311475,0.2366255144,0.1806722689,0.1415525114,0.1574279379,0.1367924528,0.1642857143,0.1431980907,0.150862069,0.1988304094,0.1903846154,0.2511627907,0.206185567,0.2493573265,0.2116402116,0.1507692308,0.159375,0.1371841155,0.1258503401,0.09281437126,0.1047381546,0.1306306306,0.125,0.1935483871,0.2215568862,0.2520547945
All Upper Manhattan,Manhattan,submarket,0.08125,0.075,0.09523809524,0.02649006623,0.03787878788,0.125,0.09271523179,0.08130081301,0.1132075472,0.1557377049,0.09917355372,0.09230769231,0.08148148148,0.048,0.07272727273,0.08490566038,0.1223021583,0.1307692308,0.064,0.1203007519,0.1403508772,0.2016129032,0.1240310078,0.07692307692,0.07894736842,0.1052631579,0.1464968153,0.1017964072,0.1279069767,0.1542056075,0.1510791367,0.1565836299,0.203539823,0.2443438914,0.1753554502,0.08256880734,0.2260536398,0.1538461538,0.1326164875,0.128440367,0.07070707071,0.164556962,0.09113924051,0.1257309942,0.1598639456,0.2,0.15,0.1205211726,0.1337209302,0.1424581006,0.1065989848,0.1287128713,0.10430839,0.1924882629,0.1645101664,0.1612903226,0.2597402597,0.1557894737,0.1932938856,0.1476868327,0.1558441558,0.1669291339,0.1120815138,0.1295774648,0.1047345768,0.1683899557,0.1142857143,0.1801152738,0.1600633914,0.1903945111,0.1431064572,0.1254237288,0.1366782007,0.1411764706,0.1179173047,0.123769339,0.1460526316,0.157635468,0.1349206349,0.1894852136,0.2033462033,0.1709286676,0.1697416974,0.1177976953,0.1428571429,0.1255474453,0.1701828411,0.1369863014,0.1334981459,0.1755555556,0.1528066528,0.2225312935,0.2632478632,0.2892976589,0.2959381044,0.2117117117,0.2066115702,0.1808943089,0.173693086,0.1426202322,0.1380880121,0.1106382979,0.09228971963,0.2042889391,0.2560455192,0.2582159624
All Upper West Side,Manhattan,submarket,0.1325757576,0.08235294118,0.06746031746,0.03082191781,0.04494382022,0.03956834532,0.06153846154,0.06550218341,0.118556701,0.08910891089,0.1344086022,0.09278350515,0.07291666667,0.0989010989,0.05319148936,0.05319148936,0.07111111111,0.08979591837,0.1235955056,0.1766917293,0.1390977444,0.1213235294,0.1991869919,0.1083333333,0.1739130435,0.1348837209,0.1188118812,0.145,0.13671875,0.1783216783,0.1925675676,0.2129032258,0.1557971014,0.2205323194,0.1769230769,0.1185770751,0.1235955056,0.1203007519,0.1259541985,0.1463414634,0.1234567901,0.1626506024,0.1497175141,0.1352112676,0.1861198738,0.2340425532,0.2006578947,0.1821305842,0.1634615385,0.1335616438,0.1563517915,0.07120743034,0.0904109589,0.1415525114,0.1652173913,0.1728971963,0.2578125,0.197044335,0.1419753086,0.124567474,0.1391585761,0.1151515152,0.0796460177,0.1079545455,0.1259079903,0.1789883268,0.1912878788,0.1926070039,0.1762295082,0.2477272727,0.200477327,0.1297709924,0.1530612245,0.1479591837,0.1484184915,0.1315192744,0.1203155819,0.1761658031,0.1754068716,0.2366548043,0.2419659735,0.2262626263,0.2407002188,0.1633165829,0.165394402,0.1737967914,0.1142857143,0.175257732,0.1171366594,0.1964980545,0.1635687732,0.301010101,0.3012820513,0.2898230088,0.2754820937,0.1721854305,0.1861861862,0.2025316456,0.1772575251,0.1471389646,0.1519607843,0.1674208145,0.1764705882,0.244813278,0.2906976744,0.3122065728
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.07142857143,,,0.125,0.1176470588,0.0,0.1666666667,,,0.0,0.1176470588,0.1052631579,0.1290322581,0.1515151515,0.09090909091,0.08888888889,0.09836065574,0.01886792453,0.01785714286,0.06818181818,0.1304347826,0.08823529412,0.04938271605,0.06329113924,0.02127659574,0.1100917431,0.05839416058,0.06289308176,0.05454545455,0.0472972973,0.01923076923,0.05309734513,0.0979020979,0.08275862069,0.1111111111,0.06956521739,0.04651162791,0.08071748879,0.09205020921,0.07272727273,0.0383480826,0.07407407407,0.06882591093,0.08152173913,0.102739726,0.1787709497,0.1639344262,0.1632653061,0.09027777778,0.2,0.2108108108,0.1773399015,0.1210762332,0.1402714932,0.1161825726,0.2066115702,0.1607843137,0.1585903084,0.2195121951,0.1524663677,0.1746575342,0.128742515,0.1629213483,0.1869918699,0.1608910891,0.172489083,0.178111588,0.1637010676,0.2428571429,0.2641509434,0.1870229008,0.1573604061,0.2428571429,0.18,0.2134831461,0.1985815603,0.1965317919,0.2036553525,0.08446866485,0.1951219512,0.2237288136,0.2872727273
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3076923077,,,,0.1875,0.07692307692,,0.0,,0.3529411765,0.2352941176,0.06666666667,0.2352941176,0.125,,,0.3333333333,,,0.0,0.08333333333,0.1875,0.05555555556,0.1176470588,,,,0.25,0.1764705882
Battery Park City,Manhattan,neighborhood,0.1071428571,0.08333333333,0.04761904762,0.0,0.05555555556,0.1176470588,,,0.1176470588,,,0.0,,,,0.0,0.1363636364,0.1290322581,0.09677419355,0.1428571429,0.1944444444,0.07894736842,0.1052631579,0.2,,0.03703703704,0.1379310345,0.09090909091,0.1111111111,0.1333333333,0.07407407407,0.1951219512,0.1315789474,0.08108108108,0.09302325581,0.08823529412,0.03225806452,0.03448275862,0.0625,0.1142857143,0.1351351351,0.15,0.1025641026,0.04545454545,0.2222222222,0.1515151515,0.1034482759,0.1176470588,0.1034482759,0.06451612903,0.07692307692,0.04761904762,0.05263157895,0.1025641026,0.1388888889,0.125,0.1388888889,0.2162162162,0.125,0.03846153846,0.1923076923,0.1,0.1304347826,0.1739130435,0.1935483871,0.1851851852,0.08,0.1282051282,0.2727272727,0.1842105263,0.2,0.1515151515,0.15,0.1714285714,0.08108108108,0.25,0.0625,0.2058823529,0.2,0.125,0.1794871795,0.275862069,0.2,,0.3076923077,0.2,0.08333333333,0.1538461538,0.1333333333,0.1379310345,0.125,0.2142857143,0.275862069,0.1,0.1428571429,0.1111111111,0.0,,,0.1875,0.24,0.07142857143,0.06896551724,0.2666666667,0.1666666667,0.09677419355
Bay Ridge,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2105263158,0.1612903226,0.1142857143,0.02941176471,0.06666666667,0.0,0.03846153846,0.04,0.05882352941,0.08333333333,0.09523809524,0.06818181818,0.04,0.08771929825,0.1166666667,0.0350877193,0.06451612903,0.02564102564,0.0,0.0487804878,0.0,0.05714285714,0.1612903226,0.1071428571,0.1944444444,0.06666666667,0.1627906977,0.2173913043,0.1086956522,0.08163265306,0.02040816327,0.1071428571,0.2264150943,0.1333333333,0.08474576271,0.1481481481,0.1551724138,0.2580645161,0.1379310345,0.1568627451,0.06060606061,0.1604938272,0.2,0.1772151899,0.09375,0.1428571429,0.09016393443,0.1265822785,0.3492063492,0.2337662338,0.2297297297,0.1774193548,0.2278481013,0.1511627907,0.2093023256,0.1531531532,0.25,0.08130081301,0.05769230769,0.171875,0.2333333333,0.305785124
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571429,,,0.0,,0.1578947368,,0.125,,0.07142857143,,0.1333333333,,0.07692307692,,,,,0.0,0.2,0.1666666667,0.05,0.1428571429,,,0.0625,,,0.1,0.1904761905,,0.0,0.05555555556,0.04761904762,0.0,0.0,0.1111111111,0.3125,0.3157894737,0.0,0.06666666667,0.4,0.1428571429,0.2,,0.2857142857,0.05555555556,,0.2307692308,0.1,
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford-Stuyvesant,Brooklyn,neighborhood,0.1142857143,0.06060606061,0.21875,0.06060606061,0.1538461538,0.08,,0.07142857143,,0.1538461538,,0.06666666667,0.0612244898,0.1,0.15,0.1071428571,0.0,0.03125,0.05128205128,0.08108108108,0.04166666667,0.1153846154,0.2564102564,0.0,0.1282051282,0.08333333333,0.07317073171,0.1724137931,0.126984127,0.1129032258,0.1166666667,0.2405063291,0.02631578947,0.09090909091,0.06,0.1,0.1818181818,0.09722222222,0.1506849315,0.1805555556,0.1,0.1632653061,0.1707317073,0.1418918919,0.1742424242,0.1913580247,0.1941176471,0.2108108108,0.1778846154,0.1737089202,0.171641791,0.1812080537,0.11875,0.2212121212,0.1813333333,0.1392931393,0.2179775281,0.1612903226,0.1483050847,0.1563876652,0.1706730769,0.1207729469,0.1154639175,0.1446428571,0.1188455008,0.147515528,0.1244925575,0.113960114,0.1247706422,0.1321138211,0.1565656566,0.1926121372,0.1206030151,0.1386138614,0.1744966443,0.1326315789,0.1703296703,0.2051724138,0.191679049,0.1843191197,0.1920821114,0.2272727273,0.2160883281,0.1587301587,0.1869918699,0.2018691589,0.1860465116,0.1361426256,0.167989418,0.1692307692,0.1548856549,0.2019704433,0.247582205,0.2363636364,0.2112932605,0.1388888889,0.2052980132,0.1956521739,0.1896162528,0.1406844106,0.1325648415,0.1196911197,0.09694989107,0.1597222222,0.1618589744,0.2170731707
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.0243902439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.1764705882,,0.3529411765,0.09523809524,0.05263157895
Bensonhurst,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1176470588,0.0,0.1538461538,0.07692307692,0.4166666667,,0.1111111111,,,0.1333333333,0.1333333333,0.1764705882,0.0,,0.07692307692,,0.07142857143,,0.4166666667,0.1764705882,0.07142857143,,,,,,0.1818181818,0.09090909091,0.1333333333,0.1304347826,0.1666666667,0.1818181818,,0.25,0.2258064516,0.21875
Bergen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3571428571,0.3333333333,0.07692307692,,,,0.07692307692,,,,,,,,,,,,,,
Boerum Hill,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2727272727,0.07142857143,,,,,,,,0.25,0.0,,0.2142857143,0.2352941176,0.2,0.3636363636,,,0.2307692308,0.05555555556,0.125,0.2142857143,0.1304347826,0.3235294118,0.1212121212,0.1071428571,0.3111111111,0.1290322581,0.1904761905,0.0,,,,0.2352941176,0.1764705882,0.2916666667,0.3703703704,0.125,0.1875,0.3333333333,,,,,0.07692307692,0.1153846154,0.2142857143,0.3243243243,0.1818181818,0.2702702703,0.25,0.2258064516,0.2068965517,0.12,0.1666666667,0.2666666667,0.06666666667,0.2222222222,0.04761904762,0.3333333333,0.1176470588,0.2580645161,0.2857142857,0.2857142857,0.3333333333,0.3,0.1176470588,0.3529411765,0.2352941176,0.1052631579,0.25,0.1785714286,0.08333333333,0.1904761905,0.1904761905,0.3913043478
Borough Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2307692308,,,,,,,,,,,,,,,0.1428571429,0.1333333333,,,0.09090909091,,,,,,,,,,,,0.1538461538
Bowne Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briarwood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.1428571429,0.1111111111,0.1176470588,,,,0.07692307692,,,,,,,,,,,,,0.0,0.1875,,,,,,,,,,,,,,,0.2727272727,
Bronx,Bronx,borough,,,0.04545454545,0.05263157895,0.0,0.0,0.04347826087,0.1,0.05263157895,0.16,0.0,0.03703703704,0.1290322581,0.04761904762,0.1481481481,0.0,0.125,0.21875,0.07142857143,0.1724137931,0.1666666667,0.1379310345,0.07142857143,0.04166666667,0.03703703704,0.03448275862,0.21875,0.08823529412,0.1515151515,0.06666666667,0.05555555556,0.02777777778,0.1388888889,0.1578947368,0.05263157895,0.02564102564,0.05263157895,0.1,0.08108108108,0.05555555556,0.1052631579,0.0,0.02040816327,0.08695652174,0.1276595745,0.1555555556,0.05263157895,0.06666666667,0.01639344262,0.03278688525,0.03773584906,0.09259259259,0.1379310345,0.125,0.1125,0.1411764706,0.04819277108,0.16,0.04705882353,0.09574468085,0.05660377358,0.0826446281,0.1171875,0.0796460177,0.1100917431,0.08870967742,0.1338028169,0.1401273885,0.1304347826,0.1082802548,0.1217948718,0.072,0.09230769231,0.07438016529,0.1229508197,0.05263157895,0.03875968992,0.1691176471,0.1095890411,0.1578947368,0.1694915254,0.1077844311,0.1104651163,0.08383233533,0.1032608696,0.1173469388,0.09459459459,0.06010928962,0.1371428571,0.1124260355,0.06989247312,0.1240310078,0.1229508197,0.1666666667,0.1597222222,0.1574074074,0.104,0.1640625,0.1428571429,0.1366459627,0.1701030928,0.09523809524,0.1030042918,0.171875,0.1731601732,0.1198630137
Bronxwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Brooklyn,borough,0.09266409266,0.07258064516,0.1048387097,0.068,0.06926406926,0.09130434783,0.0796460177,0.07359307359,0.0787037037,0.1216931217,0.09793814433,0.07075471698,0.05511811024,0.04583333333,0.06477732794,0.05905511811,0.07903780069,0.1012269939,0.08157099698,0.08664259928,0.1137440758,0.1442307692,0.2049180328,0.09132420091,0.1520912548,0.1081967213,0.106741573,0.1053984576,0.1315136476,0.1568181818,0.1146496815,0.1203319502,0.1328976035,0.1694117647,0.07881773399,0.07107843137,0.1289640592,0.1298701299,0.1293859649,0.1744186047,0.1336633663,0.1511450382,0.1282352941,0.1158221303,0.1814006889,0.1815352697,0.1619644723,0.1482254697,0.1369334619,0.13599182,0.1324786325,0.1335766423,0.118912081,0.163406214,0.1630754163,0.1413196069,0.1818181818,0.1629706034,0.1476264997,0.1327482172,0.1542008197,0.1230477993,0.121674662,0.1067644662,0.1145324822,0.1372360845,0.121253406,0.1324339207,0.1301102026,0.1610305958,0.1549429658,0.1300692384,0.1305808929,0.147086915,0.1688812688,0.1614785992,0.1645130791,0.1770222743,0.1907371883,0.1927281973,0.1950243065,0.2094682231,0.2260183968,0.175,0.1812520485,0.2141887305,0.2150160678,0.1679389313,0.160938611,0.1753402722,0.1542471042,0.2267072159,0.2602739726,0.247464503,0.2318992655,0.1719532554,0.2007874016,0.1902240326,0.1755299368,0.1704728208,0.161703175,0.1437216339,0.09670289188,0.1876118869,0.1832412523,0.2126743232
Brooklyn Heights,Brooklyn,neighborhood,,,,,,,,,0.07142857143,0.1428571429,,,,,,,,,,,,,,,,,,,0.1538461538,0.2105263158,0.0,0.05882352941,0.1764705882,0.5384615385,,,0.1875,0.0,,,0.1111111111,0.375,0.2173913043,0.05263157895,0.3888888889,0.1,0.2222222222,,,,0.3125,0.2,0.1923076923,0.1764705882,0.2162162162,0.1951219512,0.2307692308,0.2666666667,0.1481481481,0.2592592593,0.1153846154,0.125,0.1304347826,0.04166666667,0.2,0.2692307692,0.1714285714,0.1428571429,0.2857142857,0.1176470588,0.1875,0.1851851852,0.3939393939,0.21875,0.1538461538,0.2727272727,0.2,0.1515151515,0.2894736842,0.08888888889,0.3125,0.358974359,0.1794871795,0.25,0.125,0.2702702703,0.1944444444,0.125,0.2619047619,0.2542372881,0.3695652174,0.2142857143,0.3,0.1470588235,0.1111111111,0.1875,0.2380952381,0.2142857143,0.3846153846,,0.2777777778,0.1071428571,0.1891891892,0.3,0.15,0.3870967742
Brookville,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06666666667,,0.25,,,,,,,0.3076923077,0.1,0.0,0.1538461538,,,,0.1428571429,0.0625,0.4117647059,0.09523809524,0.1935483871,0.08333333333,,0.1,0.3636363636,,,,,,,0.1333333333,,0.1176470588,0.09090909091,0.1666666667,0.09523809524
Bushwick,Brooklyn,neighborhood,,,,,,,,,,,,,,,0.1538461538,,,,0.0,,,,,,,0.09090909091,0.06666666667,0.0625,0.1,0.2777777778,0.06976744186,0.08108108108,0.02857142857,0.1785714286,0.08695652174,0.08333333333,0.1612903226,0.2857142857,0.2,0.25,0.06060606061,0.08823529412,0.05263157895,0.15,0.2428571429,0.2037037037,0.132231405,0.1391304348,0.1553398058,0.1428571429,0.1358024691,0.1062801932,0.1614349776,0.1498127341,0.1433121019,0.1271477663,0.1726618705,0.1506849315,0.1142857143,0.1492537313,0.1582733813,0.1687116564,0.1466666667,0.07582938389,0.1013513514,0.1247771836,0.1130790191,0.1202185792,0.0854368932,0.156462585,0.1737804878,0.1211072664,0.1333333333,0.1711711712,0.2074468085,0.1503416856,0.1374819103,0.2108108108,0.2075226978,0.2198391421,0.214516129,0.1623762376,0.236673774,0.1727493917,0.2506142506,0.2909535452,0.2649253731,0.2051282051,0.1757425743,0.2001972387,0.1530418251,0.2375979112,0.2496328928,0.2304761905,0.255952381,0.186440678,0.2167381974,0.1839622642,0.1791666667,0.174688057,0.1768447837,0.1735205617,0.07662236122,0.1933139535,0.1711281071,0.1831345826
Cambria Heights,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.09090909091,0.05555555556,0.2272727273,0.2272727273,,0.1538461538,0.0,0.07142857143,,0.05263157895,0.05263157895,0.0,,0.05555555556,0.1428571429,0.1176470588,0.1851851852,0.0,0.1578947368
Carroll Gardens,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,0.07142857143,0.06666666667,0.1666666667,0.05555555556,,,,0.2307692308,0.5,0.1428571429,0.1176470588,0.3333333333,,0.0625,0.2,0.3571428571,,,,,,,,0.1818181818,0.0,0.2272727273,0.2777777778,0.4666666667,,,,0.2307692308,0.2352941176,0.0,0.08333333333,0.1,0.16,0.2,0.2777777778,0.2,0.1428571429,0.1304347826,0.2,0.2352941176,0.08333333333,0.1923076923,0.3225806452,0.2857142857,0.2058823529,0.2222222222,0.1818181818,0.35,0.1923076923,0.2142857143,0.1666666667,0.04,0.08695652174,0.25,0.1724137931,0.2647058824,0.08620689655,0.1527777778,0.1923076923,0.3137254902,0.3469387755,0.2222222222,0.075,0.1515151515,0.07692307692,0.2222222222,0.1666666667,0.025,0.243902439,0.275,0.2571428571,0.4482758621,0.2173913043,0.3548387097,0.09523809524,0.1923076923,0.225,0.07692307692,0.25,0.1956521739,0.152173913,0.06976744186,0.28125,0.1666666667,0.34375
Castle Hill,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07142857143,,,,,,,,,,,,,,,,,,,,,,
